,Origin,Throughput
0,12TH,659535
1,16TH,678521
2,19TH,627232
3,24TH,686647
4,ASHB,285726
5,BALB,622043
6,BAYF,299791
7,CAST,148799
8,CIVC,1234145
9,COLM,225224
10,COLS,321131
11,CONC,296393
12,DALY,485176
13,DBRK,630223
14,DELN,424636
15,DUBL,385404
16,EMBR,1943232
17,FRMT,440284
18,FTVL,424950
19,GLEN,394154
20,HAYW,256002
21,LAFY,174699
22,LAKE,357690
23,MCAR,452221
24,MLBR,361706
25,MONT,2000470
26,NBRK,233279
27,NCON,131895
28,OAKL,82421
29,ORIN,144551
30,PHIL,350393
31,PITT,308077
32,PLZA,245108
33,POWL,1810268
34,RICH,220635
35,ROCK,280301
36,SANL,287768
37,SBRN,194701
38,SFIA,356963
39,SHAY,153067
40,SSAN,182560
41,UCTY,238587
42,WCRK,330835
43,WDUB,171603
44,WOAK,381486
