,Destination,Throughput
0,12TH,632526
1,16TH,622660
2,19TH,612383
3,24TH,619540
4,ASHB,257638
5,BALB,483946
6,BAYF,278537
7,CAST,133879
8,CIVC,1105484
9,COLM,194016
10,COLS,305194
11,CONC,279124
12,DALY,439713
13,DBRK,612890
14,DELN,408770
15,DUBL,357860
16,EMBR,2061536
17,FRMT,403571
18,FTVL,401703
19,GLEN,346466
20,HAYW,231635
21,LAFY,166322
22,LAKE,359831
23,MCAR,435673
24,MLBR,301820
25,MONT,1988535
26,NBRK,227741
27,NCON,119485
28,OAKL,63360
29,ORIN,137731
30,PHIL,332534
31,PITT,300948
32,PLZA,241662
33,POWL,1384925
34,RICH,193693
35,ROCK,282997
36,SANL,285089
37,SBRN,175217
38,SFIA,283419
39,SHAY,132208
40,SSAN,158303
41,UCTY,218388
42,WCRK,324794
43,WDUB,164608
44,WOAK,338351
45,WSPR,22
